source_id	track_id	ontology_name	access_class	access_mode	license_status	source_access_status	source_version	version_status	languages	language_codes	declared_language_count	github_repositories	github_repository_roles	authoritative_endpoint	authoritative_endpoint_status	local_only_requirements	credential_required	payload_commit_allowed	pr_safe	release_safe	redistribution_status	source_payloads_can_be_committed	restricted_sources	known_blocker_count	agent_panel_assessment_required	maintainer_promotion_decision_required
decipher	decipher_integration_20260623	DECIPHER	restricted	permissioned_api_or_terms_gated_access	permission_or_data_use_terms_required	permission_or_api_terms_required		not_pinned_in_track_metadata	English only	en	1			non_github_authority_required	non_github_authority_required	credentialed exports; full API responses; licensed payloads; raw downloads; source-specific extraction outputs remain local-only until access and redistribution terms pass review	true	false	true	false	api_terms_required_no_full_response_redistribution	false	DECIPHER	3	true	true
do	do_integration_20260623	Disease Ontology	open	open_ontology_download_review_required	terms_review_required	open_ontology_download_review_required		not_pinned_in_track_metadata	English only	en	1	https://github.com/DiseaseOntology/HumanDiseaseOntology	{'url': 'https://github.com/DiseaseOntology/HumanDiseaseOntology', 'role': 'source_repository', 'authoritative_for_release_payload': True}	repository_recorded_authority_review_required	repository_recorded_authority_review_required	credentialed exports; full API responses; licensed payloads; raw downloads	false	false	true	true	terms_review_required_before_payload_redistribution	false		3	true	true
efo	efo_integration_20260623	EFO	open	open_ontology_download_review_required	terms_review_required	open_ontology_download_review_required	v3.92.0	pinned_metadata_only_sample	English only	en	1	https://github.com/EBISPOT/efo	{'url': 'https://github.com/EBISPOT/efo', 'role': 'source_repository', 'authoritative_for_release_payload': True}	repository_recorded_authority_review_required	repository_recorded_authority_review_required	credentialed exports; full API responses; licensed payloads; raw downloads	false	false	true	true	terms_review_required_before_payload_redistribution	false		3	true	true
fma	fma_integration_20260623	FMA	open	public_ontology_terms_review_required	terms_review_required	public_ontology_terms_review_required		not_pinned_in_track_metadata	English only	en	1			non_github_authority_required	non_github_authority_required	credentialed exports; full API responses; licensed payloads; raw downloads	false	false	true	true	terms_review_required_before_payload_redistribution	false		3	true	true
icd10	icd10_integration_20260623	ICD-10	open	public_or_national_variant_download	terms_review_required	public_or_national_variant_review_required		not_pinned_in_track_metadata	English; French; US English; Canadian English; Canadian French; Australian English; German German; French French; European Spanish; UK English	de-DE; en; en-AU; en-CA; en-GB; en-US; es-ES; fr; fr-CA; fr-FR	10	https://github.com/ICD-API	{'url': 'https://github.com/ICD-API', 'role': 'tooling_reference', 'authoritative_for_release_payload': False}	authority_described_github_not_authoritative	authority_described_github_not_authoritative	credentialed exports; full API responses; licensed payloads; raw downloads	false	false	true	true	terms_review_required_before_payload_redistribution	false		3	true	true
icd11	icd11_integration_20260623	ICD-11	API-only	public_api_terms_review_required	not_recorded	public_api_metadata_only_terms_recorded		not_pinned_in_track_metadata	Arabic; Chinese; Czech; English; French; German (prerelease); Kazakh; Latin (titles only); Portuguese; Russian; Slovak; Spanish; Swedish; Turkish; Uzbek	ar; cs; en; es; fr; pt; ru; sk; sv; tr; uz; zh	12	https://github.com/ICD-API	{'url': 'https://github.com/ICD-API', 'role': 'tooling_reference', 'authoritative_for_release_payload': False}	authority_described_github_not_authoritative	authority_described_github_not_authoritative	credentialed exports; full API responses; licensed payloads; raw downloads; source-specific extraction outputs remain local-only until access and redistribution terms pass review	false	false	true	false	api_terms_required_no_full_response_redistribution	false		3	true	true
lddb	lddb_integration_20260623	LDDB	investigation-only	source_authority_investigation	unknown_authority_and_license	source_authority_and_access_unknown		not_pinned_in_track_metadata	English only	en	1			non_github_authority_required	non_github_authority_required	credentialed exports; full API responses; licensed payloads; raw downloads; source-specific extraction outputs remain local-only until access and redistribution terms pass review	false	false	true	false	unknown_until_authority_verified	false	unknown_until_source_authority_verified	2	true	true
loinc	loinc_integration_20260623	LOINC	restricted	account_gated_download	free_account_license_review_required	free_account_license_review_required		not_pinned_in_track_metadata	English; French; German; Italian; Spanish; Chinese; Korean; Dutch; Portuguese; Russian; Turkish	de; en; es; fr; it; ko; nl; pt; ru; tr; zh	11	https://github.com/loinc; https://github.com/loinc/comp-loinc	{'url': 'https://github.com/loinc', 'role': 'source_repository', 'authoritative_for_release_payload': True}; {'url': 'https://github.com/loinc/comp-loinc', 'role': 'source_repository', 'authoritative_for_release_payload': True}	repository_recorded_authority_review_required	repository_recorded_authority_review_required	credentialed exports; full API responses; licensed payloads; raw downloads; source-specific extraction outputs remain local-only until access and redistribution terms pass review	true	false	true	false	restricted_no_payload_redistribution	false	LOINC	3	true	true
meddra	meddra_integration_20260623	MedDRA	restricted	licensed_release_download	subscription_license_required	subscription_or_license_required		not_pinned_in_track_metadata	27 languages including English; French; German; Spanish; Italian; Portuguese; Japanese; Chinese; Russian; Arabic; Czech; Dutch; Hungarian; Korean; Polish; Swedish; Turkish	ar; cs; de; en; es; fr; hu; it; ja; ko; nl; pl; pt; ru; sv; tr; zh	27			non_github_authority_required	non_github_authority_required	credentialed exports; full API responses; licensed payloads; raw downloads; source-specific extraction outputs remain local-only until access and redistribution terms pass review	true	false	true	false	restricted_no_payload_redistribution	false	MedDRA	3	true	true
mesh	mesh_integration_20260623	MeSH	open	public_download_terms_review_required	terms_review_required	public_download_terms_review_required		not_pinned_in_track_metadata	English; French; German; Spanish; Portuguese; Italian; Japanese; Russian; Finnish; Czech; Polish	cs; de; en; es; fi; fr; it; ja; pl; pt; ru	11	https://github.com/HHS/meshrdf	{'url': 'https://github.com/HHS/meshrdf', 'role': 'source_repository', 'authoritative_for_release_payload': True}	repository_recorded_authority_review_required	repository_recorded_authority_review_required	credentialed exports; full API responses; licensed payloads; raw downloads	false	false	true	true	terms_review_required_before_payload_redistribution	false		3	true	true
